Title,Speaker,Date Posted,Link
"""Iyeza"" / ""Zabalaza""",Thandiswa Mazwai,May 2018,https://www.ted.com/talks/thandiswa_mazwai_iyeza_zabalaza
"""Jabberwocky"": One of literature's best bits of nonsense",Lewis Carroll,Sep 2020,https://www.ted.com/talks/lewis_carroll_jabberwocky_one_of_literature_s_best_bits_of_nonsense
"""Jamie Raeburn"" / ""Baloo Baleerie"" / ""Twa recruitin Sergeants""",Findlay Napier and Gillian Frame,Jan 2020,https://www.ted.com/talks/findlay_napier_and_gillian_frame_jamie_raeburn_baloo_baleerie_twa_recruitin_sergeants
"""Joey's Song"" / ""The Other Side"" / ""Lorena""",Bob Schneider,Aug 2020,https://www.ted.com/talks/bob_schneider_joey_s_song_the_other_side_lorena
"""Kilamu"" / ""Ama Aje"" / ""Jam Now, Simmer Down"" / ""Dracula""",Blinky Bill,Nov 2022,https://www.ted.com/talks/blinky_bill_kilamu_ama_aje_jam_now_simmer_down_dracula
"""King of the World"" / ""Nothing Has to Be True"" / ""My Silver Lining""",First Aid Kit,Oct 2019,https://www.ted.com/talks/first_aid_kit_king_of_the_world_nothing_has_to_be_true_my_silver_lining
"""Mana"" / ""Salt Water""",Mia Kami,Jan 2023,https://www.ted.com/talks/mia_kami_mana_salt_water
"""Meditation from Thais""",Min Kym,Jan 2020,https://www.ted.com/talks/min_kym_meditation_from_thais
"""Music for Wood and Strings""",Sō Percussion,Mar 2017,https://www.ted.com/talks/so_percussion_music_for_wood_and_strings
"""My Fine Reward""",Tito Deler,Feb 2018,https://www.ted.com/talks/tito_deler_my_fine_reward
"""My Man"" / ""Bohanna"" / ""We Dance""",Crush Club,Mar 2019,https://www.ted.com/talks/crush_club_my_man_bohanna_we_dance
"""Neghmat Erriah"" / ""Ghounia""",Djazia Satour,Jan 2020,https://www.ted.com/talks/djazia_satour_neghmat_erriah_ghounia
"""New Colossus""",Emma Lazarus,Jul 2019,https://www.ted.com/talks/emma_lazarus_new_colossus
"""New Second Line""",Camille A. Brown,Oct 2018,https://www.ted.com/talks/camille_a_brown_new_second_line
"""Nice and Quiet"" / ""One Of These Days""",Bedouine,Dec 2022,https://www.ted.com/talks/bedouine_nice_and_quiet_one_of_these_days
"""Not About Me""",John Bidden,Sep 2018,https://www.ted.com/talks/john_bidden_not_about_me
