Name,Course,Sector,Links
"""Iyeza"" / ""Zabalaza""",Ian Firth,May 2018,https://www.ted.com/talks/thandiswa_mazwai_iyeza_zabalaza
"""Jabberwocky"": One of literature's best bits of nonsense",Ernestine Leikeki Sevidzem,Sep 2020,https://www.ted.com/talks/lewis_carroll_jabberwocky_one_of_literature_s_best_bits_of_nonsense
"""Jamie Raeburn"" / ""Baloo Baleerie"" / ""Twa recruitin Sergeants""",Paola Antonelli,Jan 2020,https://www.ted.com/talks/findlay_napier_and_gillian_frame_jamie_raeburn_baloo_baleerie_twa_recruitin_sergeants
"""Joey's Song"" / ""The Other Side"" / ""Lorena""",Khulan Batkhuyag,Aug 2020,https://www.ted.com/talks/bob_schneider_joey_s_song_the_other_side_lorena
"""Kilamu"" / ""Ama Aje"" / ""Jam Now, Simmer Down"" / ""Dracula""",Angélique Kidjo and Femi Oke,Nov 2022,https://www.ted.com/talks/blinky_bill_kilamu_ama_aje_jam_now_simmer_down_dracula
"""King of the World"" / ""Nothing Has to Be True"" / ""My Silver Lining""",David Carroll,Oct 2019,https://www.ted.com/talks/first_aid_kit_king_of_the_world_nothing_has_to_be_true_my_silver_lining
"""Mana"" / ""Salt Water""",Jing Corpuz,Jan 2023,https://www.ted.com/talks/mia_kami_mana_salt_water
"""Meditation from Thais""",Noelle Martin,Jan 2020,https://www.ted.com/talks/min_kym_meditation_from_thais
"""Music for Wood and Strings""",Tricia Wang,Mar 2017,https://www.ted.com/talks/so_percussion_music_for_wood_and_strings
"""My Fine Reward""",Bill Bernat,Feb 2018,https://www.ted.com/talks/tito_deler_my_fine_reward
"""My Man"" / ""Bohanna"" / ""We Dance""",Sajan Saini,Mar 2019,https://www.ted.com/talks/crush_club_my_man_bohanna_we_dance
"""Neghmat Erriah"" / ""Ghounia""",A.J. Jacobs,Jan 2020,https://www.ted.com/talks/djazia_satour_neghmat_erriah_ghounia
"""New Colossus""",Alex Gendler,Jul 2019,https://www.ted.com/talks/emma_lazarus_new_colossus
"""New Second Line""",Michael Uslan,Oct 2018,https://www.ted.com/talks/camille_a_brown_new_second_line
"""Nice and Quiet"" / ""One Of These Days""",TED-Ed,Dec 2022,https://www.ted.com/talks/bedouine_nice_and_quiet_one_of_these_days
"""Not About Me""",Leonora Neville,Sep 2018,https://www.ted.com/talks/john_bidden_not_about_me
"""Ode to the Only Black Kid in the Class""",Shannon Lee,Sep 2019,https://www.ted.com/talks/clint_smith_ode_to_the_only_black_kid_in_the_class
"""Once There Was III"" — a mesmerizing blend of dance, animation and tech",Why rivals are working together to transform shipping,Aug 2022,https://www.ted.com/talks/nina_mcneely_once_there_was_iii_a_mesmerizing_blend_of_dance_animation_and_tech
"""Part II. The Journey Through Time"" / ""Ruslan and Lyudmila""",Dropbox,Jan 2019,https://www.ted.com/talks/deutsche_philharmonie_merck_part_ii_the_journey_through_time_ruslan_and_lyudmila
"""Peaceful Afternoon"" / ""Going To A Town""",Ethan Hawke,Jul 2020,https://www.ted.com/talks/rufus_wainwright_peaceful_afternoon_going_to_a_town
"""RainMakers""",Adrienne Mayor,Apr 2018,https://www.ted.com/talks/qudus_onikeku_and_the_qtribe_rainmakers
"""Rebelosis"" / ""Rebel Rock"" / ""Rebel on That Level""",A Tribe Called Red,Sep 2018,https://www.ted.com/talks/the_soul_rebels_rebelosis_rebel_rock_rebel_on_that_level
"""Redemption Song""",Jenna Schilstra,Jul 2016,https://www.ted.com/talks/john_legend_redemption_song
"""Rollercoaster""",Michael Patrick Lynch,Mar 2017,https://www.ted.com/talks/sara_ramirez_rollercoaster
"""Ruiseñor"" / ""No Hay Vuelta Atrás""",Augusto Carballido,May 2019,https://www.ted.com/talks/flor_de_toloache_ruisenor_no_hay_vuelta_atras
"""STILL C U"" / ""Figures""",Iseult Gillespie,Jun 2023,https://www.ted.com/talks/jessie_reyez_still_c_u_figures
"""San Francisco""",Mennat El Ghalid,Feb 2018,https://www.ted.com/talks/the_ferocious_few_san_francisco
"""Say What!"" / ""Nervous""",Coleman Hughes and Jamelle Bouie,Aug 2023,https://www.ted.com/talks/tolliver_say_what_nervous
"""Shadow""",Sarah Brosnan,Nov 2020,https://www.ted.com/talks/kesha_shadow
"""Sleep Sleep Beauty Bright""",Hyunsoo Joshua No,Nov 2019,https://www.ted.com/talks/martha_redbone_sleep_sleep_beauty_bright
"""Space Oddity""",Annie Bosler and Don Greene,Nov 2016,https://www.ted.com/talks/amanda_palmer_jherek_bischoff_usman_riaz_space_oddity
"""Spiritual Leader"" / ""Audacious"" (ft. KAZU)",Dan Harris,Sep 2022,https://www.ted.com/talks/ian_chang_spiritual_leader_audacious_ft_kazu
"""St. James Infirmary Blues""",Grady Booch,Oct 2016,https://www.ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues
"""Stumbling towards intimacy"": An improvised TED Talk",Herman Narula,Sep 2019,https://www.ted.com/talks/anthony_veneziale_stumbling_towards_intimacy_an_improvised_ted_talk
"""TRY""",Jessica Garza,Jan 2021,https://www.ted.com/talks/madison_mcferrin_try
"""Taranta"" / ""Calblanque""",David Lammy,Sep 2020,https://www.ted.com/talks/antonio_munoz_fernandez_taranta_calblanque
"""The Coming Out Beauty"" / ""419 sq ft""",Matt Russo,Sep 2018,https://www.ted.com/talks/muslim_sahib_the_coming_out_beauty_419_sq_ft
"""The Hill We Climb""",Rahwa Ghirmatzion and Zelalem Adefris,Jan 2021,https://www.ted.com/talks/amanda_gorman_the_hill_we_climb
"""The Last Serenade""",Tammy Lally,Jul 2018,https://www.ted.com/talks/lili_haydn_the_last_serenade
"""The Muse"" / ""Spring Song""",Kristen Bell + Giant Ant,Sep 2020,https://www.ted.com/talks/sheku_kanneh_mason_and_isata_kanneh_mason_the_muse_spring_song
"""The Nutritionist""",Harrison Scott Key,May 2019,https://www.ted.com/talks/andrea_gibson_the_nutritionist
"""The Rich Man's House"" / ""Woke Up This Morning (With My Mind Stayed on Freedom)""",Elizabeth Howell,Jun 2019,https://www.ted.com/talks/resistance_revival_chorus_the_rich_man_s_house_woke_up_this_morning_with_my_mind_stayed_on_freedom
"""The Road Not Taken""",Douglas Thomas,Jun 2019,https://www.ted.com/talks/robert_frost_the_road_not_taken
"""The Sacred Art of the Ori""",Robert Muggah,Aug 2017,https://www.ted.com/talks/laolu_senbanjo_the_sacred_art_of_the_ori
"""The Second Coming""",Glenn Cantave,May 2019,https://www.ted.com/talks/william_butler_yeats_the_second_coming
"""The Singularity""",Claudia Miner,Jun 2019,https://www.ted.com/talks/marie_howe_the_singularity
"""The Woman in the Arena""",Duckwrth,Aug 2022,https://www.ted.com/talks/gina_chavez_the_woman_in_the_arena
"""The [Uncertain] Four Seasons""",Angela Garbes,Oct 2021,https://www.ted.com/talks/akqa_and_jung_von_matt_the_uncertain_four_seasons
"""This Town"" / ""Too Far Gone""",Jamey Stillings,Feb 2022,https://www.ted.com/talks/hannah_fisher_and_sorren_maclean_this_town_too_far_gone
"""Three Months After""",Sharmeen Obaid-Chinoy,Jun 2019,https://www.ted.com/talks/cristin_o_keefe_aptowicz_three_months_after
"""To Make Use of Water""",Ayana Elizabeth Johnson and Megan Davis,May 2019,https://www.ted.com/talks/safia_elhillo_to_make_use_of_water
"""Tumba La Nyama"" / ""Mulema""",Joy Wolfram,Sep 2019,https://www.ted.com/talks/richard_bona_tumba_la_nyama_mulema
"""Turceasca""",Anab Jain,Mar 2017,https://www.ted.com/talks/silk_road_ensemble_turceasca
"""Wahala"" / ""Make You No Forget"" / ""Best I Can""",Debbie Millman,Jan 2020,https://www.ted.com/talks/blitz_bazawule_wahala_make_you_no_forget_best_i_can
"""Way Home"" / ""Warrior Heart""",Leah Garcés,Aug 2020,https://www.ted.com/talks/shawnee_way_home_warrior_heart
"""We Are the Halluci Nation""",Iseult Gillespie,Oct 2018,https://www.ted.com/talks/a_tribe_called_red_we_are_the_halluci_nation
"""White Lies"" / ""Turn It Around""",Yaël Eisenstat,Aug 2020,https://www.ted.com/talks/lucius_white_lies_turn_it_around
"""White""",Gillian Gibb,Sep 2018,https://www.ted.com/talks/yue_xiu_lim_white
"""Wild Women""",Alex Gendler,Aug 2018,https://www.ted.com/talks/sunni_patterson_wild_women
"""Woman, Life, Freedom"" in Iran — and what it means for the rest of the world",Sheena Meade,May 2023,https://www.ted.com/talks/golshifteh_farahani_woman_life_freedom_in_iran_and_what_it_means_for_the_rest_of_the_world
"""Wrong"" / ""Small Town Weirdos""",Bhakti Sharma,Oct 2019,https://www.ted.com/talks/the_bloom_twins_wrong_small_town_weirdos
"""You Are Not Alone"" / ""Extraordinary Being"" / ""Shine""",Hajer Sharief,Jun 2019,https://www.ted.com/talks/emeli_sande_you_are_not_alone_extraordinary_being_shine
"""You Found Me""",Rodin Lyasoff,May 2018,https://www.ted.com/talks/helen_gillet_you_found_me
"""You Have the Rite""",Patrick Chappatte,Aug 2019,https://www.ted.com/talks/marc_bamuthi_joseph_you_have_the_rite
"""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Bryan Kett,Sep 2018,https://www.ted.com/talks/elise_legrow_you_never_can_tell_over_the_mountain_across_the_sea
"""You and I"" / ""Attention""",Gala Marija Vrbanic,Jan 2022,https://www.ted.com/talks/charlie_puth_you_and_i_attention
"""Your Song"" / ""Real Life""",American Family Insurance,Dec 2021,https://www.ted.com/talks/joan_as_police_woman_your_song_real_life
"""my mama"" / ""BLACK BANANA""",Emily Nagoski,Mar 2018,https://www.ted.com/talks/rei_my_mama_black_banana
10 steps to boost your financial health — that you can do in a day,TEDx SHORTS,Mar 2021,https://www.ted.com/talks/wendy_de_la_rosa_10_steps_to_boost_your_financial_health_that_you_can_do_in_a_day
10 years to transform the future of humanity — or destabilize the planet,Claire Wardle,Oct 2020,https://www.ted.com/talks/johan_rockstrom_10_years_to_transform_the_future_of_humanity_or_destabilize_the_planet
100 solutions to reverse global warming,Alex Gendler,Nov 2018,https://www.ted.com/talks/chad_frischmann_100_solutions_to_reverse_global_warming
12 truths I learned from life and writing,Radhika Nagpal,Jun 2017,https://www.ted.com/talks/anne_lamott_12_truths_i_learned_from_life_and_writing
1816: The year with no summer,Why rivals are working together to transform shipping,May 2023,https://www.ted.com/talks/david_biello_1816_the_year_with_no_summer
2 questions to uncover your passion — and turn it into a career,Sakinah Hofler,Mar 2020,https://www.ted.com/talks/noeline_kirabo_2_questions_to_uncover_your_passion_and_turn_it_into_a_career
24 hours on Earth — in one image,Micah Eames,Nov 2020,https://www.ted.com/talks/stephen_wilkes_24_hours_on_earth_in_one_image
3 bizarre (and delightful) ancient theories about bird migration,John Kitching,Dec 2020,https://www.ted.com/talks/lucy_cooke_3_bizarre_and_delightful_ancient_theories_about_bird_migration
3 creative ways to fix fashion's waste problem,Danny Hillis,Feb 2018,https://www.ted.com/talks/amit_kalra_3_creative_ways_to_fix_fashion_s_waste_problem
3 elements of true fun — and how to have more of it,Antonio Cataldo,Mar 2023,https://www.ted.com/talks/catherine_price_3_elements_of_true_fun_and_how_to_have_more_of_it
3 fears about screen time for kids — and why they're not true,Atul Gawande,Oct 2017,https://www.ted.com/talks/sara_dewitt_3_fears_about_screen_time_for_kids_and_why_they_re_not_true
3 kinds of bias that shape your worldview,LADAMA,Dec 2018,https://www.ted.com/talks/j_marshall_shepherd_3_kinds_of_bias_that_shape_your_worldview
3 lessons of revolutionary love in a time of rage,Minda Dentler,Feb 2018,https://www.ted.com/talks/valarie_kaur_3_lessons_of_revolutionary_love_in_a_time_of_rage
3 lessons on decision-making from a poker champion,Rene Laufer,Oct 2018,https://www.ted.com/talks/liv_boeree_3_lessons_on_decision_making_from_a_poker_champion
3 lessons on hope in challenging times,Xiaowei R. Wang,Mar 2022,https://www.ted.com/talks/wajahat_ali_3_lessons_on_hope_in_challenging_times
3 lessons on starting a movement from a self-defense trailblazer,Hamdi Ulukaya,Apr 2019,https://www.ted.com/talks/rana_abdelhamid_3_lessons_on_starting_a_movement_from_a_self_defense_trailblazer
3 lessons on success from an Arab businesswoman,Why rivals are working together to transform shipping,Jul 2016,https://www.ted.com/talks/leila_hoteit_3_lessons_on_success_from_an_arab_businesswoman
