Name,Course,Sector,Links
An AI smartwatch that detects seizures,Suchitra Krishnan-Sarin,Apr 2019,https://www.ted.com/talks/rosalind_picard_an_ai_smartwatch_that_detects_seizures
"An ER doctor on triaging your ""crazy busy"" life",Anthony D. Romero,May 2020,https://www.ted.com/talks/darria_long_an_er_doctor_on_triaging_your_crazy_busy_life
"An Indigenous Mixtape from Lima, Peru",Anja Blacha,Oct 2020,https://www.ted.com/talks/far_flung_an_indigenous_mixtape_from_lima_peru
An Indigenous perspective on humanity's survival on Earth,Jason W. Chin,Oct 2022,https://www.ted.com/talks/jupta_itoewaki_an_indigenous_perspective_on_humanity_s_survival_on_earth
An NFL quarterback on overcoming setbacks and self-doubt,Charlotte Degot,Sep 2021,https://www.ted.com/talks/alex_smith_an_nfl_quarterback_on_overcoming_setbacks_and_self_doubt
An Olympic champion's mindset for overcoming fear,Lucia Carminati,Apr 2022,https://www.ted.com/talks/allyson_felix_an_olympic_champion_s_mindset_for_overcoming_fear
An action plan for solving the climate crisis,Nyra Jordan,Nov 2021,https://www.ted.com/talks/john_doerr_and_ryan_panchadsaram_an_action_plan_for_solving_the_climate_crisis
An aerial perspective on renewable energy,Kevin Kelly,Mar 2022,https://www.ted.com/talks/jamey_stillings_an_aerial_perspective_on_renewable_energy
An aerialist on listening to your body's signals,Renee Montgomery,Dec 2020,https://www.ted.com/talks/adie_delaney_an_aerialist_on_listening_to_your_body_s_signals
An app that empowers people to solve their legal problems,Björn Ulvaeus,Jun 2021,https://www.ted.com/talks/rohan_pavuluri_an_app_that_empowers_people_to_solve_their_legal_problems
An app that helps incarcerated people stay connected to their families,Why rivals are working together to transform shipping,Oct 2019,https://www.ted.com/talks/marcus_bullock_an_app_that_helps_incarcerated_people_stay_connected_to_their_families
An app that predicts the impact of global climate change,Scott Nguyen,Apr 2019,https://www.ted.com/talks/sarvesh_subramanian_an_app_that_predicts_the_impact_of_global_climate_change
An architect's guide to living on Mars,Rabiaa El Garani,Oct 2019,https://www.ted.com/talks/bjarke_ingels_an_architect_s_guide_to_living_on_mars
An architect's subversive reimagining of the US-Mexico border wall,Alexander MacDonald,Feb 2019,https://www.ted.com/talks/ronald_rael_an_architect_s_subversive_reimagining_of_the_us_mexico_border_wall
An artist's unflinching look at racial violence,Neha Narula,May 2016,https://www.ted.com/talks/sanford_biggers_an_artist_s_unflinching_look_at_racial_violence
"An astronaut's story of curiosity, perspective and change",Michelle Mehrtens,Jan 2019,https://www.ted.com/talks/leland_melvin_an_astronaut_s_story_of_curiosity_perspective_and_change
An economic case for protecting the planet,Marco Alverà,Jan 2018,https://www.ted.com/talks/naoko_ishii_an_economic_case_for_protecting_the_planet
An election redesign to restore trust in US democracy,Dorie Clark,May 2022,https://www.ted.com/talks/tiana_epps_johnson_an_election_redesign_to_restore_trust_in_us_democracy
An election system that puts voters (not politicians) first,WorkLife with Adam Grant,Mar 2021,https://www.ted.com/talks/amber_mcreynolds_an_election_system_that_puts_voters_not_politicians_first
An electrifying acoustic guitar performance,T. Morgan Dixon and Vanessa Garrison,Feb 2017,https://www.ted.com/talks/rodrigo_y_gabriela_an_electrifying_acoustic_guitar_performance
An entertainment icon on living a life of meaning,Yossi Elran,Jun 2016,https://www.ted.com/talks/norman_lear_an_entertainment_icon_on_living_a_life_of_meaning
An ethical plan for ending the pandemic and restarting the economy,Rob Cooke,Apr 2020,https://www.ted.com/talks/danielle_allen_an_ethical_plan_for_ending_the_pandemic_and_restarting_the_economy
An ever-evolving map of everything on Earth,Christina Costa,Nov 2021,https://www.ted.com/talks/jack_dangermond_an_ever_evolving_map_of_everything_on_earth
An evolutionary perspective on human health and disease,Charles P. Smith,Apr 2020,https://www.ted.com/talks/lara_durgavich_an_evolutionary_perspective_on_human_health_and_disease
"An excerpt from ""Figuring""",Cornelia Geppert,Nov 2019,https://www.ted.com/talks/maria_popova_an_excerpt_from_figuring
"An honest history of an ancient and ""nasty"" word",Rebecca J. Barthelmie and Sara C. Pryor,Apr 2021,https://www.ted.com/talks/kate_lister_an_honest_history_of_an_ancient_and_nasty_word
An honest look at the personal finance crisis,Sunni Patterson,Jul 2018,https://www.ted.com/talks/elizabeth_white_an_honest_look_at_the_personal_finance_crisis
"An illustrated kingdom of real, fantastical plants",Hosted by Prajakta Koli and Hannah Stocking,Oct 2020,https://www.ted.com/talks/nirupa_rao_an_illustrated_kingdom_of_real_fantastical_plants
An ingenious proposal for scaling up marine protection,Emma Bryce,Jun 2019,https://www.ted.com/talks/the_nature_conservancy_an_ingenious_proposal_for_scaling_up_marine_protection
An ingenious solution for aid in disaster zones,Elizabeth Lyle,Nov 2018,https://www.ted.com/talks/a_dara_dotz_an_ingenious_solution_for_aid_in_disaster_zones
An innovative way to support children with special needs,His Holiness Pope Francis,Dec 2020,https://www.ted.com/talks/billy_samuel_mwape_an_innovative_way_to_support_children_with_special_needs
An instrument anyone can play,WorkLife with Adam Grant,Feb 2018,https://www.ted.com/talks/tim_exile_an_instrument_anyone_can_play
An interactive map to track (and end) pollution in China,Zoe Pierrat,Aug 2021,https://www.ted.com/talks/ma_jun_an_interactive_map_to_track_and_end_pollution_in_china
An interdimensional performance of imagination,Michael Schur,Jun 2022,https://www.ted.com/talks/particle_ink_an_interdimensional_performance_of_imagination
An intergalactic guide to using a defibrillator,Françoise Mouly,Apr 2017,https://www.ted.com/talks/todd_scott_an_intergalactic_guide_to_using_a_defibrillator
An interview with the Queen of Creole Cuisine,Naoko Ishii,Nov 2017,https://www.ted.com/talks/leah_chase_and_pat_mitchell_an_interview_with_the_queen_of_creole_cuisine
An interview with the founders of Black Lives Matter,Dan Bell,Nov 2016,https://www.ted.com/talks/alicia_garza_patrisse_cullors_and_opal_tometi_an_interview_with_the_founders_of_black_lives_matter
An invitation to reexamine your familiar world,Safi Rauf,Jun 2022,https://www.ted.com/talks/gillian_tett_an_invitation_to_reexamine_your_familiar_world
An ode to living on Earth,Sascha Morrell,Apr 2020,https://www.ted.com/talks/oliver_jeffers_an_ode_to_living_on_earth
"An open-source database to create ""guardian angel"" AI",Janelle Peters,May 2019,https://www.ted.com/talks/nivruti_rai_an_open_source_database_to_create_guardian_angel_ai
An unexpected tool for understanding inequality: abstract math,Christoph Keplinger,Mar 2019,https://www.ted.com/talks/eugenia_cheng_an_unexpected_tool_for_understanding_inequality_abstract_math
An unsung hero of the civil rights movement,Nora Brown,Feb 2019,https://www.ted.com/talks/christina_greer_an_unsung_hero_of_the_civil_rights_movement
"An urgent call to protect the world's ""Third Pole""",Carl June,Jul 2019,https://www.ted.com/talks/tshering_tobgay_an_urgent_call_to_protect_the_world_s_third_pole
Ancient Greece's greatest popstar,Shu Matsuo Post,Sep 2021,https://www.ted.com/talks/diane_j_rayor_ancient_greece_s_greatest_popstar
"Ancient Pompeii's hidden messages, preserved in graffiti",Tiffani Ashley Bell,Feb 2023,https://www.ted.com/talks/jacqueline_dibiasie_sammons_ancient_pompeii_s_hidden_messages_preserved_in_graffiti
Ancient Rome's most notorious doctor,Iseult Gillespie,Jul 2019,https://www.ted.com/talks/ramon_glazov_ancient_rome_s_most_notorious_doctor
Antibiotics changed our food. Here's how to change it back,Anirudh Sharma,Jan 2019,https://www.ted.com/talks/maryn_mckenna_antibiotics_changed_our_food_here_s_how_to_change_it_back
Apple's promise to be carbon neutral by 2030,Rose M. Mutiso,Oct 2020,https://www.ted.com/talks/lisa_jackson_and_liz_ogbu_apple_s_promise_to_be_carbon_neutral_by_2030
Architectural secrets of the world's ancient wonders,Nicola Sturgeon,Jun 2019,https://www.ted.com/talks/brandon_clifford_architectural_secrets_of_the_world_s_ancient_wonders
Architecture that's built to heal,David Autor,Sep 2016,https://www.ted.com/talks/michael_murphy_architecture_that_s_built_to_heal
"Are ad agencies, PR firms and lobbyists destroying the climate?",Wajahat Ali,Feb 2022,https://www.ted.com/talks/solitaire_townsend_are_ad_agencies_pr_firms_and_lobbyists_destroying_the_climate
Are all of your memories real?,YeYoon Kim,Sep 2020,https://www.ted.com/talks/daniel_l_schacter_are_all_of_your_memories_real
Are all relationships messy?,Amy Padnani,Jun 2019,https://www.ted.com/talks/carol_bruess_are_all_relationships_messy
Are indoor vertical farms the future of agriculture?,Chieh Huang,Jan 2020,https://www.ted.com/talks/stuart_oda_are_indoor_vertical_farms_the_future_of_agriculture
Are insect brains the secret to great AI?,Why rivals are working together to transform shipping,Dec 2022,https://www.ted.com/talks/frances_s_chance_are_insect_brains_the_secret_to_great_ai
Are life-saving medicines hiding in the world's coldest places?,Iklil Al Jabal,May 2023,https://www.ted.com/talks/normand_voyer_are_life_saving_medicines_hiding_in_the_world_s_coldest_places
Are locust plagues unstoppable?,Jodie Houlston-Lau,Nov 2021,https://www.ted.com/talks/jeffrey_a_lockwood_are_locust_plagues_unstoppable
Are naps actually good for us?,Sheila Marie Orfano and Densho,Nov 2021,https://www.ted.com/talks/matt_walker_are_naps_actually_good_for_us
Are our cultural narratives killing sharks?,David Wenham,Jul 2019,https://www.ted.com/talks/paul_cater_deaton_are_our_cultural_narratives_killing_sharks
Are solar panels worth it?,Peter Singer,Jun 2023,https://www.ted.com/talks/shannon_odell_are_solar_panels_worth_it
Are the Illuminati real?,Deepa Narayan,Oct 2019,https://www.ted.com/talks/chip_berlet_are_the_illuminati_real
Are there universal expressions of emotion?,Elizabeth Cawein,Jul 2018,https://www.ted.com/talks/sophie_zadeh_are_there_universal_expressions_of_emotion
Are video calls the best we can do in the age of the metaverse?,Jesse Ilhardt,Dec 2022,https://www.ted.com/talks/josephine_eyre_are_video_calls_the_best_we_can_do_in_the_age_of_the_metaverse
Are we interrupting the kinky sex lives of fish?,Alex Gendler,May 2020,https://www.ted.com/talks/marah_j_hardt_are_we_interrupting_the_kinky_sex_lives_of_fish
Are we living in a simulation?,Jess Kutch,Oct 2019,https://www.ted.com/talks/zohreh_davoudi_are_we_living_in_a_simulation
Are we running out of clean water?,Scott Williams,Dec 2018,https://www.ted.com/talks/balsher_singh_sidhu_are_we_running_out_of_clean_water
"Are wild animals really ""wild""?",Nigel Hughes,Jul 2021,https://www.ted.com/talks/emma_marris_are_wild_animals_really_wild
Are you a giver or a taker?,Why rivals are working together to transform shipping,Jan 2017,https://www.ted.com/talks/adam_grant_are_you_a_giver_or_a_taker
Are you an ethical true crime fan? 4 questions to ask,Kathryn M. Stephenson and David L. Suskind,Apr 2023,https://www.ted.com/talks/lindsey_a_sherrill_are_you_an_ethical_true_crime_fan_4_questions_to_ask
Are you an ideal team player?,Raj Panjabi,Mar 2020,https://www.ted.com/talks/patrick_lencioni_are_you_an_ideal_team_player
Armchair archaeologist,Aaswath Raman,Apr 2018,https://www.ted.com/talks/sarah_parcak_armchair_archaeologist
Art and awe as healing,Masha Gershman,Sep 2017,https://www.ted.com/talks/jennifer_allison_art_and_awe_as_healing
Art can heal PTSD's invisible wounds,Eleanor Nelsen,Oct 2016,https://www.ted.com/talks/melissa_walker_art_can_heal_ptsd_s_invisible_wounds
Art in the age of machine intelligence,Iseult Gillespie,Aug 2020,https://www.ted.com/talks/refik_anadol_art_in_the_age_of_machine_intelligence
Art made of the air we breathe,Siddhartha Roy,Jan 2017,https://www.ted.com/talks/emily_parsons_lord_art_made_of_the_air_we_breathe
Art that brings words to life,Drew Silverstein,May 2019,https://www.ted.com/talks/stephen_doyle_art_that_brings_words_to_life
Art that reveals how technology frames reality,Priya Parker,Mar 2020,https://www.ted.com/talks/jiabao_li_art_that_reveals_how_technology_frames_reality
Artemisia Gentileschi: The woman behind the paintings,Andrew Lovering,Jun 2022,https://www.ted.com/talks/allison_leigh_artemisia_gentileschi_the_woman_behind_the_paintings
"Asking for help is a strength, not a weakness",Luma Mufleh,Mar 2017,https://www.ted.com/talks/michele_l_sullivan_asking_for_help_is_a_strength_not_a_weakness
Autofocusing reading glasses of the future,Achim Steiner,May 2020,https://www.ted.com/talks/nitish_padmanaban_autofocusing_reading_glasses_of_the_future
Ballroom dance that breaks gender roles,Caleb Barlow,Oct 2016,https://www.ted.com/talks/trevor_copp_and_jeff_fox_ballroom_dance_that_breaks_gender_roles
Be humble — and other lessons from the philosophy of water,"Aaron Duffy, Lake Buckley and Jack Foster",Feb 2018,https://www.ted.com/talks/raymond_tang_be_humble_and_other_lessons_from_the_philosophy_of_water
Beats that break barriers,Sarah Kay,May 2019,https://www.ted.com/talks/simona_abdallah_beats_that_break_barriers
Beautiful new words to describe obscure emotions,Janja Lalich,Mar 2017,https://www.ted.com/talks/john_koenig_beautiful_new_words_to_describe_obscure_emotions
Behind the lies of Holocaust denial,Robin Hanson,May 2017,https://www.ted.com/talks/deborah_lipstadt_behind_the_lies_of_holocaust_denial
Better cybersecurity starts with honesty and accountability,Bianca Tylek,May 2021,https://www.ted.com/talks/nadya_bartol_better_cybersecurity_starts_with_honesty_and_accountability
"Big data, small farms and a tale of two tomatoes",Barry Schwartz,Aug 2020,https://www.ted.com/talks/erin_baumgartner_big_data_small_farms_and_a_tale_of_two_tomatoes
Black life at the intersection of birth and death,Tapiwa Chiwewe,Feb 2018,https://www.ted.com/talks/mwende_freequency_katwiwa_black_life_at_the_intersection_of_birth_and_death
Blindness isn't a tragic binary — it's a rich spectrum,Vinu Daniel,Jul 2023,https://www.ted.com/talks/andrew_leland_blindness_isn_t_a_tragic_binary_it_s_a_rich_spectrum
"Blood, concrete, and dynamite: Building the Hoover Dam",Jennifer Aaker and Naomi Bagdonas,Dec 2021,https://www.ted.com/talks/alex_gendler_blood_concrete_and_dynamite_building_the_hoover_dam
Brené Brown,Chase LaDue and Bruce A. Schulte,Feb 2021,https://www.ted.com/talks/design_matters_brene_brown
Brené Brown on What Vulnerability Isn't,Archie Crowley,Mar 2021,https://www.ted.com/talks/taken_for_granted_brene_brown_on_what_vulnerability_isn_t
Bridges should be beautiful,Sydney Chaffee,Jun 2018,https://www.ted.com/talks/ian_firth_bridges_should_be_beautiful
Bring on the female superheroes!,Jia Jiang,Aug 2016,https://www.ted.com/talks/christopher_bell_bring_on_the_female_superheroes
Building the impossible: Golden Gate Bridge,Cynthia Fay Davis,Feb 2022,https://www.ted.com/talks/alex_gendler_building_the_impossible_golden_gate_bridge
Building the world's largest (and most controversial) power plant,Iseult Gillespie,Dec 2020,https://www.ted.com/talks/alex_gendler_building_the_world_s_largest_and_most_controversial_power_plant
Buildings that blend nature and city,Elon Musk,Jan 2017,https://www.ted.com/talks/jeanne_gang_buildings_that_blend_nature_and_city
COVID-19 unraveled the workforce. Here's how to fix it,Refik Anadol,Jul 2020,https://www.ted.com/talks/mary_l_gray_covid_19_unraveled_the_workforce_here_s_how_to_fix_it
Can China achieve its ambitious climate pledges?,Jeffrey A. Lockwood,Oct 2021,https://www.ted.com/talks/hongqiao_liu_can_china_achieve_its_ambitious_climate_pledges
Can I have your brain? The quest for truth on concussions and CTE,Sarah Montana,Mar 2018,https://www.ted.com/talks/chris_nowinski_can_i_have_your_brain_the_quest_for_truth_on_concussions_and_cte
Can a black hole be destroyed?,Karen Lloyd,May 2019,https://www.ted.com/talks/fabio_pacucci_can_a_black_hole_be_destroyed
Can a divided America heal?,Lux Narayan,Nov 2016,https://www.ted.com/talks/jonathan_haidt_can_a_divided_america_heal
Can a new brain-circuit model change our thinking about neurodegenerative disease?,Naomi Klein,Feb 2018,https://www.ted.com/talks/james_kozloski_can_a_new_brain_circuit_model_change_our_thinking_about_neurodegenerative_disease
Can a robot pass a university entrance exam?,Jackson Bird,Aug 2017,https://www.ted.com/talks/noriko_arai_can_a_robot_pass_a_university_entrance_exam
Can a teddybear change how children relate to their own disease?,Margaret Gould Stewart,Feb 2018,https://www.ted.com/talks/aaron_horowitz_can_a_teddybear_change_how_children_relate_to_their_own_disease
Can alligators survive this apex predator?,Stuart Kauffman,Aug 2023,https://www.ted.com/talks/kenny_coogan_can_alligators_survive_this_apex_predator
Can animals be deceptive?,Daniel Finkel,Dec 2018,https://www.ted.com/talks/eldridge_adams_can_animals_be_deceptive
Can art amend history?,Fan Zhang,Aug 2017,https://www.ted.com/talks/titus_kaphar_can_art_amend_history
Can beauty open our hearts to difficult conversations?,Philip Freeman,Jul 2020,https://www.ted.com/talks/titus_kaphar_can_beauty_open_our_hearts_to_difficult_conversations
Can climate change ever be funny? 17 comedians try to answer,Maria Van Kerkhove,Nov 2021,https://www.ted.com/talks/rainn_wilson_can_climate_change_ever_be_funny_17_comedians_try_to_answer
Can clouds buy us more time to solve climate change?,Eric Dyer,Jul 2017,https://www.ted.com/talks/kate_marvel_can_clouds_buy_us_more_time_to_solve_climate_change
Can credit scores be determined by cellphone data?,Isabel Wilkerson,Feb 2018,https://www.ted.com/talks/eric_mibuari_can_credit_scores_be_determined_by_cellphone_data
Can dogs sniff out malaria?,Derren Brown,Jun 2019,https://www.ted.com/talks/james_logan_can_dogs_sniff_out_malaria_jan_2019
"Can exercise actually ""boost"" your metabolism?",TED-Ed,Oct 2022,https://www.ted.com/talks/jen_gunter_can_exercise_actually_boost_your_metabolism
Can global food companies make the shift to regenerative agriculture?,TED-Ed,Jul 2023,https://www.ted.com/talks/steve_presley_can_global_food_companies_make_the_shift_to_regenerative_agriculture
Can home cooking change the world?,Lucy Marcil,Jun 2018,https://www.ted.com/talks/gaston_acurio_can_home_cooking_change_the_world
Can light stop the coronavirus?,Ted Dintersmith,Jul 2020,https://www.ted.com/talks/david_brenner_can_light_stop_the_coronavirus
Can loud music damage your hearing?,Dennis E. Shasha,Mar 2021,https://www.ted.com/talks/heather_malyuk_can_loud_music_damage_your_hearing
Can love and independence coexist?,AKQA and Jung von Matt,Oct 2021,https://www.ted.com/talks/tanya_boucicaut_can_love_and_independence_coexist
Can machines read your emotions?,Silk Road Ensemble,Nov 2016,https://www.ted.com/talks/kostas_karpouzis_can_machines_read_your_emotions
Can other animals understand death?,Anika Goss,Jul 2023,https://www.ted.com/talks/barbara_j_king_can_other_animals_understand_death
Can seaweed help curb global warming?,Elijah Cummings,Sep 2019,https://www.ted.com/talks/tim_flannery_can_seaweed_help_curb_global_warming
Can sharks help us fight cancer?,Anne Gaskett,Jan 2019,https://www.ted.com/talks/doreen_koenning_can_sharks_help_us_fight_cancer
Can stereotypes ever be good?,Elizabeth Zion,Dec 2021,https://www.ted.com/talks/sheila_marie_orfano_and_densho_can_stereotypes_ever_be_good
Can steroids save your life?,Mariana Mazzucato,Jun 2020,https://www.ted.com/talks/anees_bahji_can_steroids_save_your_life
Can the economy grow forever?,Jeanette Winterson,Aug 2022,https://www.ted.com/talks/ted_ed_can_the_economy_grow_forever
Can the metaverse bring us closer to wildlife?,Frances S. Chance,Dec 2022,https://www.ted.com/talks/gautam_shah_can_the_metaverse_bring_us_closer_to_wildlife
Can the ocean run out of oxygen?,Mark Robinson,Aug 2020,https://www.ted.com/talks/kate_slabosky_can_the_ocean_run_out_of_oxygen
Can time be wasted?,Jen Gunter,Dec 2019,https://www.ted.com/talks/alexander_leitner_can_time_be_wasted
"Can we ""print"" smart objects?",Tanya Menon,Jan 2018,https://www.ted.com/talks/dan_walker_can_we_print_smart_objects
Can we be friends with our AI?,Amishi Jha,Feb 2018,https://www.ted.com/talks/adam_cutler_can_we_be_friends_with_our_ai
Can we build AI without losing control over it?,Mandy Len Catron,Sep 2016,https://www.ted.com/talks/sam_harris_can_we_build_ai_without_losing_control_over_it
"Can we call it a ""world map"" if it's missing a billion people?",Neal Katyal,Aug 2020,https://www.ted.com/talks/rebecca_firth_can_we_call_it_a_world_map_if_it_s_missing_a_billion_people
Can we choose to fall out of love?,Camilla Arndal Andersen,Aug 2019,https://www.ted.com/talks/dessa_can_we_choose_to_fall_out_of_love_jan_2019
"Can we create the ""perfect"" farm?",Andri Snær Magnason,Oct 2020,https://www.ted.com/talks/brent_loken_can_we_create_the_perfect_farm
Can we create vaccines that mutate and spread?,Jennifer Petriglieri,Oct 2020,https://www.ted.com/talks/leor_weinberger_can_we_create_vaccines_that_mutate_and_spread
Can we cure genetic diseases by rewriting DNA?,Morgan Vague,Apr 2019,https://www.ted.com/talks/david_r_liu_can_we_cure_genetic_diseases_by_rewriting_dna
Can we design cities for happiness?,Lyra McKee,Sep 2017,https://www.ted.com/talks/thomas_madrecki_can_we_design_cities_for_happiness
Can we edit memories?,Ibram X. Kendi,May 2020,https://www.ted.com/talks/amy_milton_can_we_edit_memories
Can we end a culture of abandonment?,Joshua Smith,Oct 2016,https://www.ted.com/talks/monica_johnson_can_we_end_a_culture_of_abandonment
Can we feed ourselves without devouring the planet?,Dennis Hong,Jan 2023,https://www.ted.com/talks/george_monbiot_can_we_feed_ourselves_without_devouring_the_planet
Can we learn to talk to sperm whales?,June Tangney,Apr 2021,https://www.ted.com/talks/david_gruber_can_we_learn_to_talk_to_sperm_whales
Can we protect AI from our biases?,Sam Berns,Feb 2018,https://www.ted.com/talks/robin_hauser_can_we_protect_ai_from_our_biases
"Can we recreate the voice of a 3,000-year-old mummy?",Lonneke Gordijn,Jun 2023,https://www.ted.com/talks/david_m_howard_can_we_recreate_the_voice_of_a_3_000_year_old_mummy
Can we regenerate heart muscle with stem cells?,HY William Chan,Mar 2019,https://www.ted.com/talks/chuck_murry_can_we_regenerate_heart_muscle_with_stem_cells
Can we solve global warming? Lessons from how we protected the ozone layer,Keith Lowe,Jan 2019,https://www.ted.com/talks/sean_davis_can_we_solve_global_warming_lessons_from_how_we_protected_the_ozone_layer
Can we stop climate change by removing CO2 from the air?,James Orsulak,Oct 2017,https://www.ted.com/talks/tim_kruger_can_we_stop_climate_change_by_removing_co2_from_the_air
Can you actually boost your immune system? Here's the truth,Georges Nzongola-Ntalaja,Jun 2021,https://www.ted.com/talks/jen_gunter_can_you_actually_boost_your_immune_system_here_s_the_truth
Can you be awake and asleep at the same time?,Nina Westbrook,May 2021,https://www.ted.com/talks/masako_tamaki_can_you_be_awake_and_asleep_at_the_same_time
Can you be yourself at work?,Edith Elliott and Shahed Alam,Apr 2022,https://www.ted.com/talks/linden_vazey_can_you_be_yourself_at_work
Can you cheat death by solving this riddle?,Marcus du Sautoy,Jun 2021,https://www.ted.com/talks/shravan_s_k_can_you_cheat_death_by_solving_this_riddle
Can you freeze your body and come back to life?,Mollie Godfrey,Feb 2023,https://www.ted.com/talks/shannon_n_tessier_can_you_freeze_your_body_and_come_back_to_life
Can you guess what's wrong with these paintings?,Anicka Yi,Aug 2022,https://www.ted.com/talks/noah_charney_can_you_guess_what_s_wrong_with_these_paintings
Can you outsmart Fate and break her ancient curse?,Alaa Wardi featuring Aisha Zainal,May 2023,https://www.ted.com/talks/dan_finkel_can_you_outsmart_fate_and_break_her_ancient_curse
Can you outsmart a troll (by thinking like one)?,Alex Gendler,Oct 2020,https://www.ted.com/talks/claire_wardle_can_you_outsmart_a_troll_by_thinking_like_one
Can you outsmart the apples and oranges fallacy?,Daniel J. Watts,Apr 2021,https://www.ted.com/talks/elizabeth_cox_can_you_outsmart_the_apples_and_oranges_fallacy
Can you outsmart the college admissions fallacy?,Ayana Elizabeth Johnson,Jun 2022,https://www.ted.com/talks/elizabeth_cox_can_you_outsmart_the_college_admissions_fallacy
Can you outsmart the fallacy that divided a nation?,Gay Gordon-Byrne,Feb 2022,https://www.ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_divided_a_nation
Can you outsmart the fallacy that fooled a generation of doctors?,Abigail Disney,Aug 2020,https://www.ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_fooled_a_generation_of_doctors
Can you outsmart the fallacy that started a witch hunt?,Varun Sivaram,Oct 2020,https://www.ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_started_a_witch_hunt
Can you outsmart the slippery slope fallacy?,Jamie C. Beard,Aug 2021,https://www.ted.com/talks/elizabeth_cox_can_you_outsmart_the_slippery_slope_fallacy
Can you outsmart this logical fallacy?,Risa Wechsler,Nov 2019,https://www.ted.com/talks/alex_gendler_can_you_outsmart_this_logical_fallacy
Can you really tell if a kid is lying?,Michael Murphy,May 2016,https://www.ted.com/talks/kang_lee_can_you_really_tell_if_a_kid_is_lying
Can you solve Dongle's Difficult Dilemma?,Dan Goods,Apr 2021,https://www.ted.com/talks/dennis_e_shasha_can_you_solve_dongle_s_difficult_dilemma
Can you solve the Alice in Wonderland riddle?,Anna Babel,Nov 2020,https://www.ted.com/talks/alex_gendler_can_you_solve_the_alice_in_wonderland_riddle
Can you solve the Leonardo da Vinci riddle?,Kate Stone,Aug 2018,https://www.ted.com/talks/tanya_khovanova_can_you_solve_the_leonardo_da_vinci_riddle
Can you solve the Mondrian squares riddle?,Walter Hood,Jun 2018,https://www.ted.com/talks/gordon_hamilton_can_you_solve_the_mondrian_squares_riddle
Can you solve the Ragnarok riddle?,Antionette Carroll,Jul 2020,https://www.ted.com/talks/dan_finkel_can_you_solve_the_ragnarok_riddle
Can you solve the Trojan War riddle?,Itamar Mann,May 2021,https://www.ted.com/talks/dennis_shasha_can_you_solve_the_trojan_war_riddle
Can you solve the airplane riddle?,Thomas Boothby,Dec 2016,https://www.ted.com/talks/judd_a_schorr_can_you_solve_the_airplane_riddle
Can you solve the alien probe riddle?,Dolly Chugh,Sep 2018,https://www.ted.com/talks/daniel_finkel_can_you_solve_the_alien_probe_riddle
Can you solve the alien pyramid riddle?,Shankar Vedantam,Sep 2022,https://www.ted.com/talks/henri_picciotto_can_you_solve_the_alien_pyramid_riddle
Can you solve the birthday cake riddle?,Dan Jørgensen,Jan 2022,https://www.ted.com/talks/marie_brodsky_can_you_solve_the_birthday_cake_riddle
Can you solve the cheating royal riddle?,Dan Katz and Alex Rosenthal,Aug 2020,https://www.ted.com/talks/dan_katz_can_you_solve_the_cheating_royal_riddle
Can you solve the control room riddle?,Sam Harris,Jun 2016,https://www.ted.com/talks/dennis_shasha_can_you_solve_the_control_room_riddle
Can you solve the counterfeit coin riddle?,Todd Scott,Jan 2017,https://www.ted.com/talks/jennifer_lu_can_you_solve_the_counterfeit_coin_riddle
Can you solve the cuddly duddly fuddly wuddly riddle?,Stephen Doyle,Apr 2019,https://www.ted.com/talks/daniel_finkel_can_you_solve_the_cuddly_duddly_fuddly_wuddly_riddle
Can you solve the dark matter fuel riddle?,Yeonmi Park,Jul 2019,https://www.ted.com/talks/daniel_finkel_can_you_solve_the_dark_matter_fuel_riddle
Can you solve the death race riddle?,Elisabeth Pierre,Mar 2020,https://www.ted.com/talks/alex_gendler_can_you_solve_the_death_race_riddle
Can you solve the dragon jousting riddle?,Jay Van Bavel,Jan 2020,https://www.ted.com/talks/alex_gendler_can_you_solve_the_dragon_jousting_riddle
Can you solve the fantasy election riddle?,David Gruber,Mar 2021,https://www.ted.com/talks/dennis_e_shasha_can_you_solve_the_fantasy_election_riddle
Can you solve the feeding frenzy riddle?,Amanda Renteria,Apr 2022,https://www.ted.com/talks/henri_picciotto_can_you_solve_the_feeding_frenzy_riddle
Can you solve the fortress riddle?,Cordae,May 2022,https://www.ted.com/talks/henri_picciotto_can_you_solve_the_fortress_riddle
Can you solve the giant cat army riddle?,Lucas Raspall,Jun 2018,https://www.ted.com/talks/dan_finkel_can_you_solve_the_giant_cat_army_riddle
Can you solve the giant iron riddle?,Shohini Ghose,Nov 2018,https://www.ted.com/talks/alex_gendler_can_you_solve_the_giant_iron_riddle
Can you solve the giant spider riddle?,Nancy N. Chen,Aug 2021,https://www.ted.com/talks/dan_finkel_can_you_solve_the_giant_spider_riddle
Can you solve the honeybee riddle?,"Elizabeth ""Zibi"" Turtle",Aug 2020,https://www.ted.com/talks/dan_finkel_can_you_solve_the_honeybee_riddle
Can you solve the human cannonball riddle?,Fabio Pacucci,Nov 2021,https://www.ted.com/talks/alex_rosenthal_can_you_solve_the_human_cannonball_riddle
